# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.600000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
55            	-5.145682e-02	-5.167039e-02	2.135649e-04	-2.682273e-17	-9.059299e-04	9.059299e-04	-9.059299e-04	-2.594198e-02	-8.249081e+00	1.473504e+00	-7.512329e+00	8.985833e+00
56            	-5.337190e-02	-5.263407e-02	-7.378275e-04	-2.433819e-17	-9.396461e-04	9.396461e-04	-9.396461e-04	-2.594812e-02	-8.322665e+00	1.473853e+00	-7.585739e+00	9.059592e+00
57            	-5.629010e-02	-5.397532e-02	-2.314777e-03	-2.201395e-17	-9.910228e-04	9.910228e-04	-9.910228e-04	-2.583027e-02	-8.385426e+00	1.467159e+00	-7.651846e+00	9.119005e+00
58            	-5.922963e-02	-5.532006e-02	-3.909564e-03	-1.949212e-17	-1.042775e-03	1.042775e-03	-1.042775e-03	-2.570525e-02	-8.434242e+00	1.460058e+00	-7.704213e+00	9.164271e+00
59            	-6.228927e-02	-5.678940e-02	-5.499876e-03	-1.742941e-17	-1.096642e-03	1.096642e-03	-1.096642e-03	-2.564476e-02	-8.494175e+00	1.456622e+00	-7.765864e+00	9.222486e+00
60            	-6.436980e-02	-5.777125e-02	-6.598545e-03	-1.449180e-17	-1.133271e-03	1.133271e-03	-1.133271e-03	-2.558635e-02	-8.553973e+00	1.453305e+00	-7.827320e+00	9.280625e+00
61            	-6.624218e-02	-5.865809e-02	-7.584085e-03	-1.135654e-17	-1.166236e-03	1.166236e-03	-1.166236e-03	-2.553700e-02	-8.632249e+00	1.450502e+00	-7.906998e+00	9.357500e+00
62            	-6.826127e-02	-5.956991e-02	-8.691358e-03	-7.571787e-18	-1.201783e-03	1.201783e-03	-1.201783e-03	-2.543927e-02	-8.726109e+00	1.444951e+00	-8.003634e+00	9.448584e+00
63            	-7.031576e-02	-6.039301e-02	-9.922752e-03	-3.769323e-18	-1.237954e-03	1.237954e-03	-1.237954e-03	-2.523513e-02	-8.824142e+00	1.433355e+00	-8.107464e+00	9.540819e+00
64            	-7.319093e-02	-6.161666e-02	-1.157426e-02	-3.932780e-19	-1.288573e-03	1.288573e-03	-1.288573e-03	-2.502120e-02	-8.934541e+00	1.421204e+00	-8.223939e+00	9.645143e+00
65            	-7.632181e-02	-6.292318e-02	-1.339863e-02	2.001682e-18	-1.343694e-03	1.343694e-03	-1.343694e-03	-2.476228e-02	-9.056949e+00	1.406497e+00	-8.353701e+00	9.760198e+00
66            	-7.934311e-02	-6.423997e-02	-1.510314e-02	4.071328e-18	-1.396886e-03	1.396886e-03	-1.396886e-03	-2.456842e-02	-9.174540e+00	1.395486e+00	-8.476797e+00	9.872284e+00
67            	-8.236045e-02	-6.556444e-02	-1.679601e-02	5.388905e-18	-1.450008e-03	1.450008e-03	-1.450008e-03	-2.438422e-02	-9.302740e+00	1.385023e+00	-8.610228e+00	9.995252e+00
68            	-8.551739e-02	-6.693501e-02	-1.858238e-02	6.551983e-18	-1.505588e-03	1.505588e-03	-1.505588e-03	-2.417631e-02	-9.439182e+00	1.373215e+00	-8.752575e+00	1.012579e+01
69            	-8.851633e-02	-6.827111e-02	-2.024523e-02	7.177810e-18	-1.558386e-03	1.558386e-03	-1.558386e-03	-2.401294e-02	-9.571440e+00	1.363935e+00	-8.889473e+00	1.025341e+01
70            	-9.141483e-02	-6.958348e-02	-2.183135e-02	7.841899e-18	-1.609416e-03	1.609416e-03	-1.609416e-03	-2.387607e-02	-9.698366e+00	1.356161e+00	-9.020286e+00	1.037645e+01
71            	-9.415312e-02	-7.085010e-02	-2.330302e-02	8.301038e-18	-1.657625e-03	1.657625e-03	-1.657625e-03	-2.377354e-02	-9.820324e+00	1.350337e+00	-9.145155e+00	1.049549e+01
72            	-9.714460e-02	-7.222998e-02	-2.491462e-02	8.561784e-18	-1.710292e-03	1.710292e-03	-1.710292e-03	-2.365768e-02	-9.948355e+00	1.343756e+00	-9.276477e+00	1.062023e+01
73            	-1.002417e-01	-7.366715e-02	-2.657458e-02	8.320907e-18	-1.764819e-03	1.764819e-03	-1.764819e-03	-2.354629e-02	-1.008093e+01	1.337429e+00	-9.412217e+00	1.074965e+01
74            	-1.033859e-01	-7.512525e-02	-2.826067e-02	7.691991e-18	-1.820175e-03	1.820175e-03	-1.820175e-03	-2.343229e-02	-1.021877e+01	1.330954e+00	-9.553290e+00	1.088424e+01
75            	-1.062377e-01	-7.649400e-02	-2.974367e-02	6.559344e-18	-1.870382e-03	1.870382e-03	-1.870382e-03	-2.337517e-02	-1.035062e+01	1.327709e+00	-9.686764e+00	1.101447e+01
76            	-1.088408e-01	-7.780776e-02	-3.103301e-02	5.114254e-18	-1.916211e-03	1.916211e-03	-1.916211e-03	-2.338737e-02	-1.047230e+01	1.328403e+00	-9.808101e+00	1.113650e+01
77            	-1.117003e-01	-7.926114e-02	-3.243919e-02	2.961871e-18	-1.966555e-03	1.966555e-03	-1.966555e-03	-2.341098e-02	-1.060027e+01	1.329743e+00	-9.935399e+00	1.126514e+01
78            	-1.147628e-01	-8.082748e-02	-3.393537e-02	2.391371e-19	-2.020473e-03	2.020473e-03	-2.020473e-03	-2.344606e-02	-1.073185e+01	1.331736e+00	-1.006599e+01	1.139772e+01
79            	-1.180165e-01	-8.248330e-02	-3.553319e-02	-3.257352e-18	-2.077755e-03	2.077755e-03	-2.077755e-03	-2.347506e-02	-1.086652e+01	1.333383e+00	-1.019983e+01	1.153321e+01
80            	-1.208822e-01	-8.400347e-02	-3.687873e-02	-7.032013e-18	-2.128208e-03	2.128208e-03	-2.128208e-03	-2.356237e-02	-1.098686e+01	1.338343e+00	-1.031769e+01	1.165603e+01
81            	-1.234060e-01	-8.541332e-02	-3.799265e-02	-1.090696e-17	-2.172640e-03	2.172640e-03	-2.172640e-03	-2.371033e-02	-1.109136e+01	1.346747e+00	-1.041799e+01	1.176474e+01
82            	-1.255730e-01	-8.671165e-02	-3.886132e-02	-1.460055e-17	-2.210792e-03	2.210792e-03	-2.210792e-03	-2.392517e-02	-1.117640e+01	1.358949e+00	-1.049693e+01	1.185588e+01
83            	-1.278418e-01	-8.810760e-02	-3.973420e-02	-1.841992e-17	-2.250736e-03	2.250736e-03	-2.250736e-03	-2.418670e-02	-1.125418e+01	1.373805e+00	-1.056727e+01	1.194108e+01
84            	-1.303651e-01	-8.961439e-02	-4.075074e-02	-2.212129e-17	-2.295161e-03	2.295161e-03	-2.295161e-03	-2.443183e-02	-1.133011e+01	1.387728e+00	-1.063625e+01	1.202397e+01
85            	-1.324536e-01	-9.098733e-02	-4.146623e-02	-2.612846e-17	-2.331929e-03	2.331929e-03	-2.331929e-03	-2.476055e-02	-1.138568e+01	1.406399e+00	-1.068248e+01	1.208888e+01
86            	-1.344868e-01	-9.236142e-02	-4.212534e-02	-3.009234e-17	-2.367725e-03	2.367725e-03	-2.367725e-03	-2.511804e-02	-1.143336e+01	1.426705e+00	-1.072001e+01	1.214671e+01
87            	-1.355368e-01	-9.333141e-02	-4.220539e-02	-3.348439e-17	-2.386211e-03	2.386211e-03	-2.386211e-03	-2.556301e-02	-1.144755e+01	1.451979e+00	-1.072156e+01	1.217354e+01
88            	-1.367015e-01	-9.438411e-02	-4.231737e-02	-3.648093e-17	-2.406716e-03	2.406716e-03	-2.406716e-03	-2.603337e-02	-1.146077e+01	1.478696e+00	-1.072142e+01	1.220012e+01
89            	-1.375014e-01	-9.532133e-02	-4.218004e-02	-3.909234e-17	-2.420799e-03	2.420799e-03	-2.420799e-03	-2.657064e-02	-1.145713e+01	1.509212e+00	-1.070252e+01	1.221173e+01
90            	-1.383763e-01	-9.628769e-02	-4.208865e-02	-4.144831e-17	-2.436203e-03	2.436203e-03	-2.436203e-03	-2.709952e-02	-1.145466e+01	1.539253e+00	-1.068503e+01	1.222429e+01
91            	-1.395232e-01	-9.739142e-02	-4.213178e-02	-4.359375e-17	-2.456394e-03	2.456394e-03	-2.456394e-03	-2.762982e-02	-1.145955e+01	1.569374e+00	-1.067486e+01	1.224424e+01
92            	-1.409235e-01	-9.857949e-02	-4.234405e-02	-4.560517e-17	-2.481048e-03	2.481048e-03	-2.481048e-03	-2.811772e-02	-1.147686e+01	1.597087e+00	-1.067831e+01	1.227540e+01
93            	-1.423676e-01	-9.974381e-02	-4.262375e-02	-4.732507e-17	-2.506471e-03	2.506471e-03	-2.506471e-03	-2.856003e-02	-1.150179e+01	1.622210e+00	-1.069069e+01	1.231290e+01
94            	-1.437358e-01	-1.008295e-01	-4.290631e-02	-4.872470e-17	-2.530561e-03	2.530561e-03	-2.530561e-03	-2.896161e-02	-1.153126e+01	1.645020e+00	-1.070875e+01	1.235377e+01
95            	-1.450486e-01	-1.018571e-01	-4.319153e-02	-4.987366e-17	-2.553673e-03	2.553673e-03	-2.553673e-03	-2.933277e-02	-1.156456e+01	1.666102e+00	-1.073151e+01	1.239761e+01
96            	-1.463767e-01	-1.028533e-01	-4.352333e-02	-5.083924e-17	-2.577054e-03	2.577054e-03	-2.577054e-03	-2.966501e-02	-1.160270e+01	1.684972e+00	-1.076021e+01	1.244518e+01
97            	-1.478426e-01	-1.039235e-01	-4.391908e-02	-5.186186e-17	-2.602863e-03	2.602863e-03	-2.602863e-03	-3.000222e-02	-1.164612e+01	1.704126e+00	-1.079406e+01	1.249818e+01
98            	-1.493630e-01	-1.049755e-01	-4.438741e-02	-5.284153e-17	-2.629630e-03	2.629630e-03	-2.629630e-03	-3.029407e-02	-1.169305e+01	1.720703e+00	-1.083269e+01	1.255340e+01
99            	-1.509869e-01	-1.060693e-01	-4.491761e-02	-5.389428e-17	-2.658220e-03	2.658220e-03	-2.658220e-03	-3.057583e-02	-1.174286e+01	1.736707e+00	-1.087451e+01	1.261121e+01
100           	-1.526173e-01	-1.071500e-01	-4.546736e-02	-5.487394e-17	-2.686924e-03	2.686924e-03	-2.686924e-03	-3.084130e-02	-1.179327e+01	1.751786e+00	-1.091738e+01	1.266916e+01
101           	-1.541610e-01	-1.081511e-01	-4.600985e-02	-5.566778e-17	-2.714102e-03	2.714102e-03	-2.714102e-03	-3.107064e-02	-1.184175e+01	1.764812e+00	-1.095934e+01	1.272416e+01
102           	-1.557314e-01	-1.091731e-01	-4.655830e-02	-5.637647e-17	-2.741750e-03	2.741750e-03	-2.741750e-03	-3.130741e-02	-1.189055e+01	1.778261e+00	-1.100142e+01	1.277968e+01
103           	-1.573179e-01	-1.102006e-01	-4.711726e-02	-5.696624e-17	-2.769681e-03	2.769681e-03	-2.769681e-03	-3.154169e-02	-1.193894e+01	1.791568e+00	-1.104316e+01	1.283473e+01
104           	-1.589119e-01	-1.112206e-01	-4.769126e-02	-5.746166e-17	-2.797744e-03	2.797744e-03	-2.797744e-03	-3.176467e-02	-1.198641e+01	1.804233e+00	-1.108429e+01	1.288852e+01
105           	-1.605137e-01	-1.122301e-01	-4.828362e-02	-5.791825e-17	-2.825945e-03	2.825945e-03	-2.825945e-03	-3.197323e-02	-1.203337e+01	1.816079e+00	-1.112533e+01	1.294141e+01
106           	-1.621050e-01	-1.132253e-01	-4.887972e-02	-5.835334e-17	-2.853962e-03	2.853962e-03	-2.853962e-03	-3.217279e-02	-1.207941e+01	1.827415e+00	-1.116570e+01	1.299311e+01
107           	-1.636929e-01	-1.142141e-01	-4.947877e-02	-5.877794e-17	-2.881918e-03	2.881918e-03	-2.881918e-03	-3.236769e-02	-1.212478e+01	1.838485e+00	-1.120554e+01	1.304403e+01
108           	-1.652709e-01	-1.151972e-01	-5.007368e-02	-5.916504e-17	-2.909698e-03	2.909698e-03	-2.909698e-03	-3.256174e-02	-1.216897e+01	1.849507e+00	-1.124421e+01	1.309372e+01
109           	-1.668553e-01	-1.161808e-01	-5.067451e-02	-5.950912e-17	-2.937593e-03	2.937593e-03	-2.937593e-03	-3.275314e-02	-1.221262e+01	1.860378e+00	-1.128243e+01	1.314281e+01
110           	-1.684356e-01	-1.171579e-01	-5.127768e-02	-5.979639e-17	-2.965415e-03	2.965415e-03	-2.965415e-03	-3.294012e-02	-1.225556e+01	1.870999e+00	-1.132006e+01	1.319106e+01
111           	-1.700153e-01	-1.181264e-01	-5.188888e-02	-6.004533e-17	-2.993227e-03	2.993227e-03	-2.993227e-03	-3.311878e-02	-1.229842e+01	1.881147e+00	-1.135785e+01	1.323900e+01
112           	-1.715524e-01	-1.190559e-01	-5.249644e-02	-6.025550e-17	-3.020288e-03	3.020288e-03	-3.020288e-03	-3.327973e-02	-1.234028e+01	1.890289e+00	-1.139514e+01	1.328543e+01
113           	-1.731814e-01	-1.200575e-01	-5.312391e-02	-6.049382e-17	-3.048968e-03	3.048968e-03	-3.048968e-03	-3.346680e-02	-1.238898e+01	1.900914e+00	-1.143852e+01	1.333944e+01
114           	-1.747328e-01	-1.209993e-01	-5.373344e-02	-6.068541e-17	-3.076281e-03	3.076281e-03	-3.076281e-03	-3.363294e-02	-1.243517e+01	1.910351e+00	-1.148000e+01	1.339035e+01
115           	-1.762385e-01	-1.219002e-01	-5.433833e-02	-6.085181e-17	-3.102790e-03	3.102790e-03	-3.102790e-03	-3.378092e-02	-1.247731e+01	1.918756e+00	-1.151793e+01	1.343669e+01
116           	-1.777097e-01	-1.227709e-01	-5.493876e-02	-6.098660e-17	-3.128692e-03	3.128692e-03	-3.128692e-03	-3.391609e-02	-1.251632e+01	1.926434e+00	-1.155310e+01	1.347953e+01
117           	-1.791761e-01	-1.236360e-01	-5.554007e-02	-6.109860e-17	-3.154509e-03	3.154509e-03	-3.154509e-03	-3.404799e-02	-1.255484e+01	1.933926e+00	-1.158787e+01	1.352180e+01
118           	-1.806627e-01	-1.245197e-01	-5.614298e-02	-6.119340e-17	-3.180681e-03	3.180681e-03	-3.180681e-03	-3.418837e-02	-1.259443e+01	1.941899e+00	-1.162348e+01	1.356538e+01
119           	-1.821348e-01	-1.253912e-01	-5.674363e-02	-6.127253e-17	-3.206599e-03	3.206599e-03	-3.206599e-03	-3.432377e-02	-1.263464e+01	1.949590e+00	-1.165984e+01	1.360943e+01
120           	-1.835538e-01	-1.262233e-01	-5.733050e-02	-6.133535e-17	-3.231582e-03	3.231582e-03	-3.231582e-03	-3.444641e-02	-1.267420e+01	1.956556e+00	-1.169592e+01	1.365248e+01
